x,evmSampleDeltaMs,logDeltaMs,DATA0_pF,DATA1_pF,DATA2_pF,DATA3_pF,DATA0,DATA1,DATA2,DATA3,DATA0_MHz,DATA1_MHz,DATA2_MHz,DATA3_MHz,
140995,18.8716010004282,57.18669999949634,55.68853191827996,55.332772725642386,Infinity,Infinity,33735013,33843288,0,0,5.026908665895462,5.043042898178101,0,0,
140996,17.979900002479553,61.56819900125265,55.68847909388195,55.332298587285464,Infinity,Infinity,33735029,33843433,0,0,5.026911050081253,5.043064504861832,0,0,
140997,18.49210000038147,65.24219999834895,55.68842296804142,55.33271713669207,Infinity,Infinity,33735046,33843305,0,0,5.026913583278656,5.0430454313755035,0,0,
140998,20.9054009988904,62.31210099905729,55.68821167152043,55.33292641317627,Infinity,Infinity,33735110,33843241,0,0,5.02692312002182,5.0430358946323395,0,0,
140999,20.738398998975754,62.101898999884725,55.68853191827996,55.332406494100006,Infinity,Infinity,33735013,33843400,0,0,5.026908665895462,5.043059587478638,0,0,
141000,12.280000999569893,53.694801000878215,55.688901691170564,55.332141632482326,Infinity,Infinity,33734901,33843481,0,0,5.026891976594925,5.043071657419205,0,0,
141001,20.640900000929832,60.377500001341105,55.688634265765,55.332772725642386,Infinity,Infinity,33734982,33843288,0,0,5.026904046535492,5.043042898178101,0,0,
141002,20.629700999706984,62.17889999784529,55.6883173196306,55.33297873248283,Infinity,Infinity,33735078,33843225,0,0,5.026918351650238,5.0430335104465485,0,0,
141003,20.581001000478864,62.23630000092089,55.68821497301932,55.33334823969808,Infinity,Infinity,33735109,33843112,0,0,5.026922971010208,5.043016672134399,0,0,
141004,18.118699999526143,64.80609899945557,55.68853191827996,55.33313569084774,Infinity,Infinity,33735013,33843177,0,0,5.026908665895462,5.043026357889175,0,0,
141005,18.663999000564218,62.25560000166297,55.689215340705694,55.33256018010807,Infinity,Infinity,33734806,33843353,0,0,5.026877820491791,5.043052583932877,0,0,
141006,20.775498999282718,62.14579999819398,55.689429944545964,55.33235417560505,Infinity,Infinity,33734741,33843416,0,0,5.026868134737015,5.043061971664429,0,0,
141007,20.719699999317527,62.228099999949336,55.688901691170564,55.33303432182736,Infinity,Infinity,33734901,33843208,0,0,5.026891976594925,5.0430309772491455,0,0,
141008,17.70939899981022,59.189799999818206,55.689377118870176,55.33271713669207,Infinity,Infinity,33734757,33843305,0,0,5.026870518922806,5.0430454313755035,0,0,
141009,20.615201000124216,60.029301000759006,55.689215340705694,55.33308337131856,Infinity,Infinity,33734806,33843193,0,0,5.026877820491791,5.043028742074966,0,0,
141010,20.49489999935031,54.428999999538064,55.68942664293902,55.33292641317627,Infinity,Infinity,33734742,33843241,0,0,5.026868283748627,5.0430358946323395,0,0,
141011,20.867800001055002,62.33260000124574,55.689429944545964,55.33287736389376,Infinity,Infinity,33734741,33843256,0,0,5.026868134737015,5.0430381298065186,0,0,
141012,20.73610099963844,62.03109999932349,55.688901691170564,55.33287736389376,Infinity,Infinity,33734901,33843256,0,0,5.026891976594925,5.0430381298065186,0,0,
141013,18.50789999961853,57.102800000458956,55.689215340705694,55.33235417560505,Infinity,Infinity,33734806,33843416,0,0,5.026877820491791,5.043061971664429,0,0,
141014,20.78380100056529,62.14670000039041,55.68984925101354,55.332406494100006,Infinity,Infinity,33734614,33843400,0,0,5.026849210262299,5.043059587478638,0,0,
141015,20.83730100095272,62.28779999911785,55.68969077242186,55.33292641317627,Infinity,Infinity,33734662,33843241,0,0,5.026856362819672,5.0430358946323395,0,0,
141016,20.78830000013113,62.06030000001192,55.68884556469115,55.33219395067584,Infinity,Infinity,33734918,33843465,0,0,5.026894509792328,5.043069273233414,0,0,
141017,20.531298998743296,62.16419900022447,55.689109690040006,55.33250786139514,Infinity,Infinity,33734838,33843369,0,0,5.026882588863373,5.043054968118668,0,0,
141018,20.79869999922812,62.26890099979937,55.68953229450668,55.332406494100006,Infinity,Infinity,33734710,33843400,0,0,5.026863515377045,5.043059587478638,0,0,
141019,20.55959999933839,62.13859999924898,55.690324690847525,55.3330310518636,Infinity,Infinity,33734470,33843209,0,0,5.026827752590179,5.0430311262607574,0,0,
141020,20.65489999949932,62.11390000022948,55.690694481594356,55.332772725642386,Infinity,Infinity,33734358,33843288,0,0,5.026811063289642,5.043042898178101,0,0,
