x,evmSampleDeltaMs,logDeltaMs,DATA0_pF,DATA1_pF,DATA2_pF,DATA3_pF,DATA0,DATA1,DATA2,DATA3,DATA0_MHz,DATA1_MHz,DATA2_MHz,DATA3_MHz,
206561,20.701200000941753,62.0384000018239,54.36924223705148,54.40768208774746,Infinity,Infinity,34141856,34129793,0,0,5.087532997131348,5.085735470056534,0,0,
206562,12.869500000029802,54.30120000243187,54.36781224401225,54.40635259901414,Infinity,Infinity,34142305,34130210,0,0,5.087599903345108,5.085797607898712,0,0,
206563,20.548600003123283,59.677000001072884,54.36669121987758,54.404876509140685,Infinity,Infinity,34142657,34130673,0,0,5.08765235543251,5.08586660027504,0,0,
206564,18.546499997377396,64.8116999976337,54.36607658215701,54.404261223757715,Infinity,Infinity,34142850,34130866,0,0,5.0876811146736145,5.085895359516144,0,0,
206565,20.736898999661207,62.40699899941683,54.364853707018064,54.402836224636104,Infinity,Infinity,34143234,34131313,0,0,5.087738335132599,5.08596196770668,0,0,
206566,20.729601003229618,62.02180100232363,54.364188149086516,54.40048366404244,Infinity,Infinity,34143443,34132051,0,0,5.087769478559494,5.086071938276291,0,0,
206567,20.589899998158216,62.20909999683499,54.36326785227284,54.39916400174141,Infinity,Infinity,34143732,34132465,0,0,5.087812542915344,5.086133629083633,0,0,
206568,20.163499001413584,61.67049900069833,54.361592908354986,54.39779020142532,Infinity,Infinity,34144258,34132896,0,0,5.087890923023224,5.086197853088379,0,0,
206569,18.58440100029111,65.51910100132227,54.3600676940675,54.396974233297364,Infinity,Infinity,34144737,34133152,0,0,5.087962299585342,5.086236000061035,0,0,
206570,20.71950000151992,67.16840000078082,54.358794077873476,54.39549215064991,Infinity,Infinity,34145137,34133617,0,0,5.088021904230118,5.0863052904605865,0,0,
206571,7.3664010018110275,56.84890000149608,54.35828145998895,54.39390495511349,Infinity,Infinity,34145298,34134115,0,0,5.08804589509964,5.086379498243332,0,0,
206572,20.825300000607967,59.89639999717474,54.35726579752274,54.39248036285913,Infinity,Infinity,34145617,34134562,0,0,5.088093429803848,5.086446106433868,0,0,
206573,15.487900000065565,64.24880000203848,54.35629473620392,54.39217760437857,Infinity,Infinity,34145922,34134657,0,0,5.0881388783454895,5.086460262537003,0,0,
206574,18.510000001639128,52.43459999933839,54.356243796000626,54.39095384848977,Infinity,Infinity,34145938,34135041,0,0,5.0881412625312805,5.086517482995987,0,0,
206575,20.77419999614358,62.02159999683499,54.354562809462664,54.389624972854435,Infinity,Infinity,34146466,34135458,0,0,5.088219940662384,5.086579620838165,0,0,
206576,18.894399996846914,59.56520000100136,54.35339125889779,54.38845866170741,Infinity,Infinity,34146834,34135824,0,0,5.088274776935577,5.086634159088135,0,0,
206577,17.88290000334382,64.99739900231361,54.353442195091255,54.38779267025714,Infinity,Infinity,34146818,34136033,0,0,5.088272392749786,5.08666530251503,0,0,
206578,20.683998998254538,62.050399996340275,54.35216881173457,54.386266353220925,Infinity,Infinity,34147218,34136512,0,0,5.088331997394562,5.086736679077148,0,0,
206579,20.844799999147654,62.38670100271702,54.351309303265786,54.384679561461084,Infinity,Infinity,34147488,34137010,0,0,5.088372230529785,5.086810886859894,0,0,
206580,20.79450000077486,62.07499999925494,54.350277920015124,54.38417294980196,Infinity,Infinity,34147812,34137169,0,0,5.088420510292053,5.086834579706192,0,0,
206581,20.502699997276068,62.102800000458956,54.34830118417501,54.38284750876093,Infinity,Infinity,34148433,34137585,0,0,5.088513046503067,5.086896568536758,0,0,
206582,16.063900005072355,51.9869000017643,54.34733036306674,54.38147432648138,Infinity,Infinity,34148738,34138016,0,0,5.088558495044708,5.086960792541504,0,0,
206583,12.951999001204967,61.718699000775814,54.34742585251407,54.380556776591256,Infinity,Infinity,34148708,34138304,0,0,5.08855402469635,5.087003707885742,0,0,
206584,17.983399994671345,64.86090099439025,54.34651553001933,54.37988774443604,Infinity,Infinity,34148994,34138514,0,0,5.0885966420173645,5.087035000324249,0,0,
206585,20.953999999910593,60.12220000103116,54.34519783098064,54.37856883149196,Infinity,Infinity,34149408,34138928,0,0,5.088658332824707,5.087096691131592,0,0,
206586,20.650699999183416,62.082499999552965,54.34412206391847,54.37673071643637,Infinity,Infinity,34149746,34139505,0,0,5.088708698749542,5.08718267083168,0,0,
206587,20.650699995458126,62.1913000009954,54.34304951139949,54.37566356934863,Infinity,Infinity,34150083,34139840,0,0,5.0887589156627655,5.08723258972168,0,0,
206588,20.75850000232458,62.24280000478029,54.34320545919949,54.37484809901817,Infinity,Infinity,34150034,34140096,0,0,5.0887516140937805,5.087270736694336,0,0,
206589,17.74319900199771,59.173098996281624,54.34076129331974,54.373519813577204,Infinity,Infinity,34150802,34140513,0,0,5.088866055011749,5.087332874536514,0,0,
206590,20.41440000012517,59.84470099955797,54.33959018893803,54.37269802105787,Infinity,Infinity,34151170,34140771,0,0,5.088920891284943,5.087371319532394,0,0,
206591,20.108500000089407,59.13340000063181,54.33821228035832,54.37249735362163,Infinity,Infinity,34151603,34140834,0,0,5.088985413312912,5.0873807072639465,0,0,
